State,Range,Rate
AK,164.2 to 174.4,173.1
AL,174.5 to 199.3,182.1
AR,174.5 to 199.3,189.6
AZ,127.9 to 155.3,146.4
CA,127.9 to 155.3,146.6
CO,127.9 to 155.3,139.2
CT,127.9 to 155.3,147.8
DC,174.5 to 199.3,177.7
DE,164.2 to 174.4,167.1
FL,127.9 to 155.3,154.9
GA,164.2 to 174.4,168.1
HI,127.9 to 155.3,134.9
IA,164.2 to 174.4,168.2
ID,155.4 to 164.1,156.3
IL,164.2 to 174.4,171.7
IN,174.5 to 199.3,179.4
KS,155.4 to 164.1,162.9
KY,174.5 to 199.3,199.3
LA,174.5 to 199.3,188.7
MA,155.4 to 164.1,159.7
MD,155.4 to 164.1,163.0
ME,174.5 to 199.3,174.8
MI,164.2 to 174.4,170.2
MN,127.9 to 155.3,155.1
MO,174.5 to 199.3,179.1
MS,174.5 to 199.3,196.5
MT,127.9 to 155.3,154.0
NC,164.2 to 174.4,167.7
ND,127.9 to 155.3,150.8
NE,155.4 to 164.1,160.7
NH,155.4 to 164.1,158.6
NJ,155.4 to 164.1,156.0
NM,127.9 to 155.3,145.1
NV,164.2 to 174.4,164.9
NY,155.4 to 164.1,155.5
OH,174.5 to 199.3,177.4
OK,174.5 to 199.3,185.4
OR,155.4 to 164.1,163.2
PA,164.2 to 174.4,170.0
RI,164.2 to 174.4,173.9
SC,164.2 to 174.4,174.0
SD,127.9 to 155.3,154.1
TN,174.5 to 199.3,185.4
TX,155.4 to 164.1,156.9
UT,127.9 to 155.3,127.9
VA,155.4 to 164.1,162.3
VT,155.4 to 164.1,164.1
WA,155.4 to 164.1,156.3
WI,164.2 to 174.4,164.6
WV,174.5 to 199.3,190.5
WY,127.9 to 155.3,147.7
