STATENAME,STATE_ABR,COUNTY_FIPS,COUNTY NAME,UV_ Wh/m_
Alabama,AL,1001,Autauga,4563
Alabama,AL,1003,Baldwin,4492
Alabama,AL,1005,Barbour,4642
Alabama,AL,1007,Bibb,4499
Alabama,AL,1009,Blount,4416
Alabama,AL,1011,Bullock,4629
Alabama,AL,1013,Butler,4579
Alabama,AL,1015,Calhoun,4466
Alabama,AL,1017,Chambers,4584
Alabama,AL,1019,Cherokee,4419
Alabama,AL,1021,Chilton,4529
Alabama,AL,1023,Choctaw,4476
Alabama,AL,1025,Clarke,4488
Alabama,AL,1027,Clay,4518
Alabama,AL,1029,Cleburne,4486
Alabama,AL,1031,Coffee,4628
Alabama,AL,1033,Colbert,4408
Alabama,AL,1035,Conecuh,4551
Alabama,AL,1037,Coosa,4545
Alabama,AL,1039,Covington,4597
Alabama,AL,1041,Crenshaw,4607
Alabama,AL,1043,Cullman,4402
Alabama,AL,1045,Dale,4644
Alabama,AL,1047,Dallas,4540
Alabama,AL,1049,DeKalb,4358
Alabama,AL,1051,Elmore,4588
Alabama,AL,1053,Escambia,4535
Alabama,AL,1055,Etowah,4422
Alabama,AL,1057,Fayette,4449
Alabama,AL,1059,Franklin,4415
Alabama,AL,1061,Geneva,4638
Alabama,AL,1063,Greene,4484
Alabama,AL,1065,Hale,4493
Alabama,AL,1067,Henry,4652
Alabama,AL,1069,Houston,4658
Alabama,AL,1071,Jackson,4328
Alabama,AL,1073,Jefferson,4456
Alabama,AL,1075,Lamar,4459
Alabama,AL,1077,Lauderdale,4391
Alabama,AL,1079,Lawrence,4391
Alabama,AL,1081,Lee,4609
Alabama,AL,1083,Limestone,4366
Alabama,AL,1085,Lowndes,4582
Alabama,AL,1087,Macon,4620
Alabama,AL,1089,Madison,4352
Alabama,AL,1091,Marengo,4495
Alabama,AL,1093,Marion,4432
Alabama,AL,1095,Marshall,4377
Alabama,AL,1097,Mobile,4466
Alabama,AL,1099,Monroe,4520
Alabama,AL,1101,Montgomery,4610
Alabama,AL,1103,Morgan,4380
Alabama,AL,1105,Perry,4513
Alabama,AL,1107,Pickens,4474
Alabama,AL,1109,Pike,4626
Alabama,AL,1111,Randolph,4539
Alabama,AL,1113,Russell,4635
Alabama,AL,1115,St. Clair,4454
Alabama,AL,1117,Shelby,4492
