provider_id,hospital_name,city,state,number_of_deaths_among_cancer_patients_assigned_to_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
Provider ID,Hospital Name,City,State,Number of deaths among cancer patients assigned to hospital (2003-07),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
10001,Southeast Alabama Medical Center,Dothan,AL,136,22.8298,16.141,32.2904,56.7465,45.4459,70.8571,4.0515,3.0215,5.0816,12.7547,8.0342,20.2487,0.3326,-0.2343,0.8996,9.4192,5.5755,15.9127,,,,75.9525,62.5423,92.2382,14.0974,12.2339,15.961,,,,44.553,34.6562,57.276
10006,Eliza Coffee Memorial Hospital,Florence,AL,91,45.0034,32.9996,61.3738,62.5112,47.9848,81.4353,5.7382,4.479,6.9974,23.0818,15.0447,35.4126,0.6716,-0.0215,1.3647,,,,,,,45.2043,33.2782,61.4045,7.834,5.5558,10.1122,,,,44.3703,32.8974,59.8443
10023,Baptist Medical Center South,Montgomery,AL,105,41.3081,30.9294,55.1696,68.5876,54.6019,86.1557,5.9929,4.8205,7.1652,26.9324,18.8237,38.534,0.9853,0.34,1.6305,,,,20.7299,13.5008,31.8299,42.2501,31.3287,56.9788,7.1622,5.0412,9.2832,,,,44.5698,33.4782,59.3361
10024,Jackson Hospital and Clinic,Montgomery,AL,118,36.277,27.1624,48.4501,66.3375,53.3444,82.4953,5.4935,4.3875,6.5996,23.7807,16.6208,34.0249,1.171,0.5622,1.7798,13.6227,8.6817,21.3757,,,,45.5835,34.7275,59.8331,7.2293,5.2282,9.2303,11.674,6.7744,20.117,37.5453,27.837,50.6395
10029,East Alabama Medical Center,Opelika,AL,93,16.3514,10.0157,26.6949,49.7736,37.3927,66.2538,4.0774,2.8321,5.3228,21.3519,13.9183,32.7557,1.5078,0.8224,2.1933,,,,,,,74.2274,58.4119,94.3251,14.4008,12.1477,16.6538,,,,27.7349,19.0167,40.45
10033,University of Alabama Hospital,Birmingham,AL,208,30.5864,24.067,38.8719,59.854,50.2918,71.2344,5.1329,4.2998,5.9659,23.8102,18.0903,31.3386,1.3666,0.9081,1.8251,10.89,7.3541,16.1259,,,,62.1881,52.287,73.9642,11.427,9.9199,12.9342,,,,38.2888,30.7043,47.7468
10039,Huntsville Hospital,Huntsville,AL,364,38.3411,32.5843,45.115,67.5212,59.619,76.4708,6.2952,5.6647,6.9256,57.3261,50.178,65.4926,4.7939,4.4469,5.1409,8.1653,5.7697,11.5555,8.9765,6.4955,12.4053,46.1382,39.5989,53.7575,8.2665,7.1259,9.4071,3.8585,2.2841,6.5182,40.7667,34.7607,47.8105
10040,Gadsden Regional Medical Center,Gadsden,AL,87,49.0577,36.2438,66.402,68.175,52.6975,88.1982,7.2146,5.9269,8.5022,16.0035,9.476,27.0275,0.8384,0.1296,1.5471,,,,,,,45.4722,33.3493,62.0019,8.7256,6.3959,11.0552,,,,37.5996,26.8599,52.6334
10055,Flowers Hospital,Dothan,AL,119,33.4242,24.5101,45.5804,64.8664,51.8728,81.1148,4.7183,3.617,5.8195,14.049,8.7315,22.6049,0.2916,-0.3145,0.8977,,,,,,,62.2434,49.5509,78.187,11.6978,9.7054,13.6901,,,,40.9776,30.9622,54.2327
