hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
HRR ID,HRR Name,State,Number of deaths among cancer patients (2003-07),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,2055,33.4759,31.0573,36.0829,61.9326,58.5902,65.4657,5.3923,5.1254,5.6591,21.3351,19.4313,23.4255,1.0063,0.8594,1.1532,9.0257,7.8329,10.4002,6.3073,5.3105,7.4913,56.5307,53.3214,59.9332,10.4698,9.9772,10.9624,5.0083,4.1161,6.0939,35.0855,32.6178,37.7398
2,Dothan,AL,399,27.0963,22.5056,32.6234,56.9738,50.0395,64.8691,4.1256,3.5249,4.7263,14.9375,11.6412,19.167,0.3119,-0.0188,0.6427,6.4077,4.421,9.2873,4.6125,2.9394,7.2377,68.6945,60.9246,77.4552,13.5681,12.4592,14.677,5.1203,3.3015,7.9412,35.2293,29.9255,41.4731
5,Huntsville,AL,599,37.3089,32.7496,42.5029,64.4407,58.3202,71.2035,5.5561,5.0655,6.0467,42.3884,37.51,47.9014,3.0783,2.8082,3.3484,8.8718,6.8214,11.5387,9.0484,7.0008,11.6948,46.6832,41.4944,52.5209,8.6379,7.7323,9.5436,4.3736,2.9762,6.4273,36.822,32.2597,42.0297
6,Mobile,AL,781,28.0117,24.5385,31.9764,60.0417,54.8284,65.7507,4.8439,4.4138,5.2739,18.8103,16.0112,22.0987,0.9119,0.6752,1.1487,7.5245,5.8607,9.6607,4.6118,3.3232,6.4,65.7379,60.2451,71.7314,11.9605,11.1666,12.7544,6.735,5.1144,8.869,48.0324,43.3897,53.172
7,Montgomery,AL,375,34.0569,28.7207,40.3846,64.4164,56.8343,73.0098,4.9493,4.3297,5.5688,21.6218,17.4509,26.7895,0.947,0.6059,1.2881,9.797,7.207,13.3176,9.4868,6.8043,13.2267,51.0418,44.2154,58.9222,9.0815,7.9379,10.2251,7.3173,4.9792,10.7534,33.2662,27.8474,39.7394
9,Tuscaloosa,AL,233,33.6843,27.0456,41.9526,60.3393,51.1475,71.183,5.485,4.6996,6.2704,16.7434,12.2775,22.8337,0.4948,0.0624,0.9271,4.7545,2.6987,8.3763,6.1055,3.6134,10.3165,56.5537,47.6113,67.1757,10.6083,9.1584,12.0581,4.9073,2.7165,8.865,38.7578,31.5491,47.6137
10,Anchorage,AK,313,32.2565,26.559,39.1762,57.8269,50.0584,66.801,4.7564,4.0788,5.4339,17.7066,13.623,23.0143,0.7209,0.3479,1.0939,,,,4.7377,2.9007,7.7378,24.4321,19.5391,30.5504,4.6409,3.3902,5.8917,3.7116,2.1072,6.5378,26.415,21.1535,32.9853
11,Mesa,AZ,470,13.8333,10.8651,17.6124,58.6219,52.1304,65.9218,4.3069,3.7535,4.8603,32.865,28.0777,38.4685,1.6021,1.2974,1.9067,8.947,6.5832,12.1594,6.3046,4.4297,8.9732,77.4309,69.8516,85.8327,12.7453,11.7238,13.7669,12.6057,9.7999,16.2148,56.1452,49.6271,63.5193
12,Phoenix,AZ,1554,20.9591,18.7948,23.3726,58.7123,55.013,62.6603,4.4044,4.0985,4.7103,25.9906,23.5617,28.6698,1.1007,0.9323,1.2691,8.5245,7.1644,10.1429,5.2871,4.2732,6.5416,67.5905,63.6001,71.8313,11.5222,10.9575,12.0868,9.8575,8.4186,11.5424,45.364,42.0649,48.9218
14,Sun City,AZ,337,15.4926,11.7715,20.3898,58.994,51.3318,67.8,4.6607,4.0076,5.3139,30.6975,25.2485,37.3225,1.5034,1.1438,1.863,8.6365,5.9196,12.6004,5.82,3.7099,9.1304,79.9467,70.9869,90.0375,13.3236,12.1179,14.5292,17.7351,13.7881,22.8121,59.8305,51.9763,68.8715
15,Tucson,AZ,672,18.9331,15.9057,22.5367,56.5656,51.1701,62.5301,4.3548,3.8918,4.8179,29.236,25.3953,33.6575,1.4716,1.2167,1.7265,10.6542,8.4085,13.4996,5.4635,3.972,7.5149,69.5788,63.5524,76.1766,10.7327,9.8779,11.5875,13.334,10.8482,16.3894,51.2285,45.9465,57.1178
16,Fort Smith,AR,375,31.7289,26.5012,37.9878,58.4018,51.1468,66.6859,4.6986,4.0793,5.3179,16.4324,12.8072,21.0838,0.4154,0.0745,0.7564,5.4006,3.4824,8.3753,3.5186,2.0826,5.945,54.8024,47.7968,62.8348,9.7945,8.6513,10.9377,5.5185,3.5963,8.468,34.4061,28.9625,40.8729
