hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2010,percent_of_cancer_patients_dying_in_hospital_2010,percent_of_cancer_patients_dying_in_hospital_2010_2,percent_of_cancer_patients_dying_in_hospital_2010_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2010_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2010_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_2010_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2010_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2010_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2010_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2010_deaths_3
HRR ID,HRR Name,State,Number of deaths among cancer patients (2010),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,1815,29.0438070587197,26.6640796191723,31.6359214535798,62.7845697053682,59.2105029431169,66.5743744294013,4.88026549707188,4.61363419602914,5.14689679811461,24.8321539823139,22.6470558306497,27.2280810367771,1.16672862686645,1.00097845342998,1.33247880030293,9.46302432319637,8.16164020499965,10.9719158272317,5.33777468375909,4.36273827668459,6.53072377200483,60.5228893502641,57.0033694430238,64.2597125590197,9.98485841390623,9.47353448518328,10.4961823426292,9.35871026764086,8.03359905251125,10.9023934728567,44.6922973303874,41.7420849760939,47.8510223390059
2,Dothan,AL,396,23.5152258408457,19.2034517480815,28.7951277509901,59.9837627038689,52.8012075806091,68.1433617331777,4.3335783729922,3.76621994469426,4.90093680129014,20.2877703144886,16.3340169848639,25.1985549369058,0.631192504324151,0.278496637322558,0.983888371325744,8.90423991988821,6.44692763507613,12.2981818687646,5.44787036857775,3.54921598995113,8.36221059435612,65.222455972009,57.6897368925289,73.7387443965195,11.0782073412536,9.9901732679214,12.1662414145857,10.3660823639876,7.59981592339559,14.1392455633271,41.6400809408338,35.7719070092737,48.4708947809154
5,Huntsville,AL,555,33.056027108638,28.6175711864162,38.1828674798818,61.9739050075,55.7552735078034,68.8861278985761,5.217753124126,4.73836599289664,5.69714025535535,41.553077478264,36.5392710733756,47.2548629787182,2.7785337145707,2.48052481676412,3.07654261237729,6.84754292718266,5.00003511025545,9.37770297721243,6.64212209282136,4.82844019598605,9.13706789464253,55.6253963279749,49.7282435889461,62.2218782191631,9.51658753878361,8.59725769881057,10.4359173787567,6.49855803086715,4.68564238263319,9.01290645591591,50.255141971499,44.69795037727,56.503246194927
6,Mobile,AL,633,26.3270597612194,22.6301552564368,30.6278975029865,65.569069143199,59.5227096988279,72.2296221065734,4.96674782663206,4.5174748293875,5.41602082387661,28.2174325870672,24.3899204208341,32.6455965442816,1.28226643946234,1.00297786035559,1.5615550185691,8.46477901743384,6.50869071731659,11.008739994874,4.12543671213316,2.80631461401298,6.064618692727,68.9087244348519,62.6887018306041,75.7459026040994,10.420663501219,9.5590841100454,11.2822428923926,11.7996510137222,9.37411803793052,14.8527854548301,57.5269485160169,51.9498646402511,63.7027608922844
7,Montgomery,AL,309,27.2058545829291,22.0662358822873,33.5425818674229,61.3898319188027,53.2602964036052,70.7602420095383,4.56113786140831,3.91897470410275,5.20330101871386,23.2807214626678,18.5589715936294,29.2037729077816,1.09022409543563,0.691026198258315,1.48942199261294,10.1286120745092,7.26645330792732,14.118136896851,,,,61.7717444500127,53.4909372249738,71.3344841267089,10.85861542741,9.62712689927963,12.0901039555404,6.79889964767081,4.38455817891963,10.5426897153154,51.5244702394057,44.2009038178464,60.0614649056004
9,Tuscaloosa,AL,222,32.1442692531444,25.6215415662387,40.3275518433348,63.1929923357867,53.5963117495539,74.5080053084818,5.80513439880871,5.04772761734625,6.56254118027116,27.9951791673643,21.9450159324445,35.7133509962108,1.1884939678004,0.717655379463605,1.6593325561372,8.80946972451387,5.79625237250515,13.3891266010532,7.37865496871491,4.51655130845358,12.0544516001485,59.2957477379307,49.8534317583754,70.5264527593855,9.95434712889856,8.50185370586749,11.4068405519296,,,,50.5615979711062,42.1049193504596,60.7167815264765
10,Anchorage,AK,350,30.495996118063,25.3102750295823,36.7441988736168,62.2790215417906,54.6410722921645,70.9846341130281,4.46455603229668,3.86141823059647,5.06769383399688,18.5390881058545,14.5879781357863,23.5603443189635,0.680663149501442,0.305725192678883,1.055601106324,4.9967646247063,3.14695270417251,7.93391546101468,5.13037477981826,3.3075997987649,7.957657208476,30.9662072041875,25.6407156597999,37.3977856677406,4.88505567028185,3.72840681052459,6.0417045300391,3.85471151036527,2.28236873145133,6.51025429124854,43.533683167425,37.0089779771351,51.2086978271225
11,Mesa,AZ,502,15.651288329387,12.5325581548166,19.5461152737967,60.2726896664494,53.823257001774,67.4949328969144,4.02877156617249,3.52482531632848,4.53271781601651,39.9120661490853,34.7205096067333,45.8798860481021,1.92280031209563,1.60952434641702,2.23607627777425,9.7525911761607,7.34483209046384,12.949654053061,6.53976372027646,4.66862506705875,9.16083619967978,77.9508208700215,70.6051688897884,86.0607030597868,12.1387099934151,11.1722826635115,13.1051373233186,11.8573480464347,9.20167358602345,15.2794707810375,71.6980079873727,64.6516450159156,79.512351899041
12,Phoenix,AZ,1617,17.1454087434333,15.2484360090013,19.2783732578127,59.9468533042258,56.2893462463537,63.8420138217746,4.33998857998452,4.05814513250495,4.62183202746409,34.2770338263473,31.5343863647672,37.2582181984448,1.65677315071336,1.48156641347366,1.83197988795305,9.68455615371337,8.27322051305066,11.3366527274931,5.82857635114042,4.7931174479561,7.08772581726742,73.8935555009371,69.7948422971125,78.2329662889139,11.1155775928532,10.5750810409237,11.6560741447827,13.8652541975724,12.1690137288103,15.7979338545864,62.8523207576681,59.0601269355254,66.8880076898138
